rva	name	subsystem	reason
005a7b60	FUN_005a7b60	audio	live-state-side-effect: _unlink on live path (in ## mechanical description)
005a79a0	FUN_005a79a0	audio	live-state-side-effect: _unlink on live path (in (preamble))
005aea00	FUN_005aea00	audio	inline [UNCERTAIN U-0125] catalogued but Blocks=C3 (matched-RVA) (heading=## uncertainties)
004548e0	FUN_004548e0	vehicle	callee-gate: 004c0b30=C1,004c1040=C1,004e69a0=C1,004e6ab0=C1,004e7e30=C1
00456760	FUN_00456760	vehicle	callee-gate: 004e6ab0=C1
005ba1d0	FUN_005ba1d0	audio	no-note
005bad30	LAB_005bad30	audio	no-note
005aa560	FUN_005aa560	audio	no-note
005a7e70	FUN_005a7e70	audio	live-state-side-effect: _unlink on live path (in ## mechanical description)
0041c2d0	FUN_0041c2d0	hud	signature-unsupported: in_EAX arg
0041b340	FUN_0041b340	hud	signature-unsupported: in_EAX arg
0041bc50	FUN_0041bc50	hud	signature-unsupported: in_EAX arg
0041c9a0	FUN_0041c9a0	hud	signature-unsupported: in_EAX arg
0041d410	FUN_0041d410	hud	signature-unsupported: in_EAX arg
00427f00	FUN_00427f00	hud	signature-unsupported: 5-arg shape
004652b0	FUN_004652b0	audio	callee-gate: 005459c0=C1
00464e10	FUN_00464e10	audio	callee-gate: 005459c0=C1
00411ce0	Ghost::SetupRender	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
00553f40	FontGlyph_UploadData	hud	callee-gate: 0055deb0=C1
004c57a0	FontCtxMatrix_AllocInit	hud	signature-unsupported: fastcall ECX/EDX args
004781b0	FUN_004781b0	vehicle	callee-gate: 004e7420=C1
004b5190	FUN_004b5190	vehicle	callee-gate: 00543d40=C1,00543d70=C1,00543df0=C1,0055deb0=C1
004770c0	FUN_004770c0	vehicle	callee-gate: 004c0b30=C1,004e7e30=C1,004e8090=C1,00534b60=C1
005ba7f0	FUN_005ba7f0	audio	live-state-side-effect: DirectSound vtable on live device (in ## constants)
005bb000	FUN_005bb000	audio	live-state-side-effect: CloseHandle on live handle (in (preamble))
005bbdb0	FUN_005bbdb0	audio	live-state-side-effect: DirectSound vtable on live device (in (preamble))
00410d10	FUN_00410d10	vehicle	inline bare [UNCERTAIN] (heading=## constants)
00454170	FUN_00454170	gameplay	callee-gate: 004c1210=C1,004c15c0=C1,004e43b0=C1,004e4440=C1
004547c0	FUN_004547c0	gameplay	callee-gate: 004e4800=C1
00429620	FUN_00429620	hud	signature-unsupported: fastcall ECX/EDX args
0045e040	FUN_0045e040	audio	callee-gate: 00546320=C1
004298e0	TimeDisplay::InitForLap	hud	inline bare [UNCERTAIN] (heading=## decompilation)
004709a0	VehicleCollisionBroadPhase	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
0046ef70	FUN_0046ef70	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
0046f6c0	VehicleWheelContactSolver	vehicle	signature-unsupported: implicit-this arg
005aaa00	FUN_005aaa00	audio	live-state-side-effect: _unlink on live path (in (preamble))
005bbd50	FUN_005bbd50	audio	live-state-side-effect: DirectSound vtable on live device (in (preamble))
005bbed0	FUN_005bbed0	audio	live-state-side-effect: DirectSound vtable on live device (in (preamble))
0046da80	VehicleTrackInteraction	vehicle	inline bare [UNCERTAIN] (heading=## mechanistic description)
00469df0	VehicleVehicleCollisionImpulse	vehicle	shape-only note (no verbatim decomp / mechanical-transcript section)
00468d80	VehicleTerrainContactSolver	vehicle	shape-only note (no verbatim decomp / mechanical-transcript section)
004694e0	VehicleObjectContactSolver	vehicle	shape-only note (no verbatim decomp / mechanical-transcript section)
004624c0	FUN_004624c0	audio	callee-gate: 00551190=C1
00418de0	FUN_00418de0	vehicle	signature-unsupported: in_EAX arg
00485380	FUN_00485380	vehicle	signature-unsupported: in_EAX arg
00418860	FUN_00418860	ai	inline bare [UNCERTAIN] (heading=## key addresses)
00444b60	FUN_00444b60	ai	callee-gate: 005586f0=C1
00423540	FUN_00423540	ai	inline bare [UNCERTAIN] (heading=## analysis)
0046c5f0	FUN_0046c5f0	vehicle	signature-unsupported: fastcall ECX/EDX args
0046cc40	FUN_0046cc40	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
005aacf0	FUN_005aacf0	audio	live-state-side-effect: _unlink on live path (in ## mechanical description)
005aac20	FUN_005aac20	audio	live-state-side-effect: _unlink on live path (in ## why c2)
005a75b0	FUN_005a75b0	audio	live-state-side-effect: _unlink on live path (in ## mechanical description)
00555af0	FontCtx_LoadMetrics_Met	hud	callee-gate: 00550a20=C1
00555ff0	FontCtx_LoadMetrics_Atlas	hud	callee-gate: 00550a20=C1
00554050	FontCanvas_Shutdown	hud	live-state-side-effect: _unlink on live path (in ## mechanical description)
00555280	FontSys_ShutdownContextPool	hud	live-state-side-effect: _unlink on live path (in ## mechanical description)
0047ea60	FUN_0047ea60	vehicle	callee-gate: 0055ac00=C1,0055dff0=C1,0057c210=C1
00546b10	FUN_00546b10	vehicle	callee-gate: 00546bf0=C1,00546c50=C1,00546cb0=C1
00421960	FUN_00421960	audio	inline bare [UNCERTAIN] (heading=## mechanical description)
0041e960	FUN_0041e960	ai	inline bare [UNCERTAIN] (heading=## callees)
004219a0	FUN_004219a0	ai	signature-unsupported: in_EAX arg
00481750	FUN_00481750	vehicle	callee-gate: 0055b650=C1,0057c210=C1
00480d60	FUN_00480d60	vehicle	callee-gate: 0055b650=C1,0057c210=C1
0047d3c0	VehiclePhysicsWorldCreate	vehicle	callee-gate: 004c0b30=C1,004e7e30=C1,00559c40=C1,0055ae70=C1,0055b940=C1,0055bab0=C1,0055c4a0=C1,0057c220=C1,0057c300=C1,0057c500=C1,0057c550=C1
00442ce0	VehicleRubberBandSpeedModifier	vehicle	inline bare [UNCERTAIN] (heading=## mechanical description)
0047e9c0	PhysicsSceneInitSequence	vehicle	callee-gate: 0055e200=C1,0055fe50=C1,0055fea0=C1,0055ff70=C1,0055ff90=C1,00561040=C1,00561390=C1,00561c50=C1,00561e60=C1,00561e80=C1
0047d240	VehiclePhysicsBodyPlace	vehicle	callee-gate: 0055ab30=C1,0055ac00=C1,0055ade0=C1,0055dff0=C1,0057c210=C1
0055c810	PhysicsBodySetLinearVelocity	vehicle	callee-gate: 0055c380=C1
004826d0	PhysicsCollisionBodyCreate	vehicle	callee-gate: 00563810=C1
00401000	FUN_00401000	hud	callee-gate: 004c0b30=C1,004e4450=C1,004e4810=C1,004e48e0=C1,004e4900=C1,004e4b90=C1,004e4dd0=C1,004e5850=C1,0053fbb0=C1
004011f0	FUN_004011f0	hud	callee-gate: 004c15c0=C1
00404820	FUN_00404820	hud	callee-gate: 004e6e00=C1
00480b70	FUN_00480b70	vehicle	callee-gate: 0055ac00=C1,0055ad30=C1,0055b650=C1,0057c210=C1
00481780	FUN_00481780	vehicle	callee-gate: 0057c210=C1
00481810	FUN_00481810	vehicle	callee-gate: 0055bb70=C1,0055bde0=C1,0057c210=C1
004818d0	FUN_004818d0	vehicle	callee-gate: 0057c210=C1
00481a30	FUN_00481a30	vehicle	callee-gate: 0057c210=C1
00481d90	FUN_00481d90	vehicle	callee-gate: 0055ac00=C1,0055ac50=C1,0055ad30=C1,0055b650=C1,0057c210=C1
00481e00	FUN_00481e00	vehicle	callee-gate: 0055c000=C1,0057ca30=C1
00482140	FUN_00482140	vehicle	callee-gate: 004e68a0=C1,004e7fa0=C1,004e8030=C1,004e8640=C1,004e8910=C1,004e8940=C1,004e8a10=C1,004e8c70=C1,004e8ea0=C1
00482820	FUN_00482820	vehicle	callee-gate: 0055af80=C1,0055afc0=C1,0055de20=C1
00483ed0	FUN_00483ed0	vehicle	callee-gate: 004c0b30=C1,004c15c0=C1
00486370	FUN_00486370	particle	signature-unsupported: in_EAX arg
00486830	FUN_00486830	particle	inline bare [UNCERTAIN] (heading=## mechanical description)
00487150	FUN_00487150	particle	signature-unsupported: fastcall ECX/EDX args
00487e00	FUN_00487e00	particle	signature-unsupported: fastcall ECX/EDX args
00405920	FUN_00405920	gameplay	signature-unsupported: in_EAX arg
00405f60	FUN_00405f60	gameplay	signature-unsupported: fastcall ECX/EDX args
004064c0	FUN_004064c0	gameplay	signature-unsupported: in_EAX arg
00406ae0	FUN_00406ae0	gameplay	signature-unsupported: in_EAX arg
004074a0	FUN_004074a0	gameplay	callee-gate: 004e6e00=C1
00408610	FUN_00408610	gameplay	callee-gate: 00538c80=C1
004096a0	FUN_004096a0	gameplay	signature-unsupported: 5-arg shape
0040baa0	FUN_0040baa0	gameplay	signature-unsupported: 5-arg shape
0040bae0	FUN_0040bae0	gameplay	callee-gate: 004e89a0=C1,0053fb70=C1
0040be50	FUN_0040be50	gameplay	signature-unsupported: fastcall ECX/EDX args
00412010	FUN_00412010	gameplay	callee-gate: 004e6e00=C1
0048ae00	FUN_0048ae00	particle	callee-gate: 004c0b30=C1,004c1040=C1,004e69a0=C1,004e7e30=C1,005449f0=C1,00544a70=C1,00544ad0=C1,00544bf0=C1
0048af70	FUN_0048af70	particle	signature-unsupported: fastcall ECX/EDX args
0048aff0	FUN_0048aff0	particle	inline bare [UNCERTAIN] (heading=## mechanical description)
0048b230	FUN_0048b230	particle	callee-gate: 00544bf0=C1
